flink,terasort,cmbw.sh,no,success,804.546686 
flink,terasort,cmbw.sh,bw,fail,1060.623490 
flink,terasort,cmbw.sh,cache,success,689.207254 
flink,terasort,cmbw.sh,bwcache,success,1186.511761 
flink,terasort,cmbw.sh,no,success,739.660650 
flink,terasort,cmbw.sh,bw,fail,1017.723942 
flink,terasort,cmbw.sh,cache,success,852.528069 
flink,terasort,cmbw.sh,bwcache,success,969.650089 
flink,terasort,cmbw.sh,no,success,759.033960 
flink,terasort,cmbw.sh,bw,success,1170.696620 
flink,terasort,cmbw.sh,cache,success,775.498479 
flink,terasort,cmbw.sh,bwcache,fail,1147.735567 
spark,terasort,clbm.sh,no,success,192.277721 
spark,terasort,clbm.sh,bw,success,267.428236 
spark,terasort,clbm.sh,cache,success,202.021074 
spark,terasort,clbm.sh,bwcache,success,166.977183 
spark,terasort,clbm.sh,no,success,241.118989 
spark,terasort,clbm.sh,bw,success,192.418780 
Tue Dec 15 11:44:14 CET 2015,spark,terasort,clbm.sh,no,success,159.607458 
Tue Dec 15 11:51:05 CET 2015,spark,terasort,clbm.sh,bw,success,276.658951 
Tue Dec 15 11:56:55 CET 2015,spark,terasort,clbm.sh,cache,success,214.143747 
Tue Dec 15 12:02:47 CET 2015,spark,terasort,clbm.sh,bwcache,success,216.539619 
Tue Dec 15 12:08:39 CET 2015,spark,terasort,clbm.sh,no,success,215.884667 
Tue Dec 15 12:15:28 CET 2015,spark,terasort,clbm.sh,bw,success,274.312857 
Tue Dec 15 12:21:19 CET 2015,spark,terasort,clbm.sh,cache,success,215.452301 
Tue Dec 15 12:27:29 CET 2015,spark,terasort,clbm.sh,bwcache,success,234.312183 
Tue Dec 15 12:34:08 CET 2015,spark,terasort,clbm.sh,no,success,263.035649 
Tue Dec 15 12:40:25 CET 2015,spark,terasort,clbm.sh,bw,success,242.308093 
Tue Dec 15 12:46:15 CET 2015,spark,terasort,clbm.sh,cache,success,214.722036 
Tue Dec 15 12:52:09 CET 2015,spark,terasort,clbm.sh,bwcache,success,218.146470 
2015-12-15 13:22:14,spark,terasort,clbm.sh,no,success,0.000000 
2015-12-15 13:25:05,spark,terasort,clbm.sh,bw,success,0.000000 
2015-12-15 13:31:13,spark,terasort,comnet.sh,no,success,34.986625 
2015-12-15 13:34:03,spark,terasort,comnet.sh,bw,success,35.091107 
2015-12-15 13:36:58,spark,terasort,comnet.sh,cache,success,39.314851 
2015-12-15 13:39:54,spark,terasort,comnet.sh,bwcache,success,40.832577 
2015-12-15 13:42:44,spark,terasort,comnet.sh,no,success,34.640096 
2015-12-15 13:45:34,spark,terasort,comnet.sh,bw,success,35.078114 
2015-12-15 13:48:28,spark,terasort,comnet.sh,cache,success,38.567095 
2015-12-15 13:51:24,spark,terasort,comnet.sh,bwcache,success,40.400701 
